Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
43 SHEFFLEY CRT,10006336400,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1986,1913,2025,1,630000,329.33,633800,331.31
164 SMITHFIELD AVE,11000014000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1922,1305,2024,3,300000,229.89,315300,241.61
40 RUPERTSLAND BLVD,11000182000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1953,2013,2023,7,580000,288.13,629900,312.92
117 TAIT AVE,11000331000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1946,1339,2024,7,345000,257.65,356700,266.39
169 KILBRIDE AVE,11000769000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1914,960,2023,6,218200,227.29,238100,248.02
565 MCADAM AVE,11010047000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1950,735,2023,11,227500,309.52,243000,330.61
608 MCADAM AVE,11010061000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,652,2023,8,295000,452.45,319200,489.57
559 MATHESON AVE,11010091000,RESSD - Detached SIngle Dwelling,OS-One Storey,1907,648,2023,7,220000,339.51,238900,368.67
659 MCADAM AVE,11010146000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1952,1294,2024,9,368000,284.39,377200,291.50
208 RUPERTSLAND AVE,11010227000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,1194,2024,6,300000,251.26,311400,260.80
586 SMITHFIELD AVE,11010602000,RESSD - Detached SIngle Dwelling,OS-One Storey,1951,792,2023,3,315000,397.73,347800,439.14
321 ENNISKILLEN AVE,11010830000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1949,1224,2023,7,306000,250.00,332300,271.49
481 ENNISKILLEN AVE,11011021000,RESSD - Detached SIngle Dwelling,OS-One Storey,1951,904,2023,3,305000,337.39,336700,372.46
434 ST ANTHONY AVE,11020386000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1952,1205,2024,5,330000,273.86,343900,285.39
339 KILBRIDE AVE,11020763000,RESSD - Detached SIngle Dwelling,OS-One Storey,1947,709,2024,9,223000,314.53,228600,322.43
371 SEMPLE AVE,11021118000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,956,2023,8,375000,392.26,405800,424.48
275 SEMPLE AVE,11021177000,RESSD - Detached SIngle Dwelling,OS-One Storey,1910,760,2024,9,255000,335.53,261400,343.95
237 ROYAL AVE,11030070000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1296,2024,2,320000,246.91,337600,260.49
289 MARGARET AVE,11031219000,RESSD - Detached SIngle Dwelling,OS-One Storey,1946,816,2023,9,229900,281.74,247600,303.43
88 WEINBERG RD,11032306000,RESSD - Detached SIngle Dwelling,OS-One Storey,1968,1083,2023,7,335000,309.33,363800,335.92
28 DAHLIA AVE,11040042000,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,1000,2024,12,325000,325.00,329200,329.20
2 BLUEBELL AVE,11040256000,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,1092,2024,11,341000,312.27,346800,317.58
706 AIRLIES ST,11040442000,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1036,2024,7,370000,357.14,382600,369.31
3 PAYNE ST,11040657000,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1048,2023,10,420000,400.76,450700,430.06
47 TEAKWOOD AVE,11040930000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,2007,1275,2023,6,400000,313.73,436400,342.27
129 ARROWWOOD DR N,11041017000,RESSD - Detached SIngle Dwelling,OS-One Storey,1960,1036,2023,12,382777,369.48,407300,393.15
116 GILIA DR,11041544000,RESSD - Detached SIngle Dwelling,OS-One Storey,1961,1290,2025,1,466280,361.46,470000,364.34
3 GILIA DR,11041615000,RESSD - Detached SIngle Dwelling,OS-One Storey,1961,1328,2024,2,396000,298.19,417800,314.61
46 ASHBURY BAY,11041776000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1960,1520,2023,2,357000,234.87,392700,258.36
26 SWEETWOOD BAY,11041803000,RESSD - Detached SIngle Dwelling,OS-One Storey,1961,1295,2023,5,342444,264.44,375000,289.58
943 AIRLIES ST,11041858000,RESSD - Detached SIngle Dwelling,TL-3 Level Split,1963,1197,2024,8,405000,338.35,416700,348.12
12 FOREST PARK DR,11042220000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1962,3835,2023,6,671300,175.05,732400,190.98
14 DOUG MCKAY PL,11050077000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1969,856,2023,3,272000,317.76,300300,350.82
63 LAUREL BAY,11050208000,RESSD - Detached SIngle Dwelling,OS-One Storey,1967,1170,2023,3,375000,320.51,414000,353.85
45 HILLHOUSE RD,11050250000,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,1969,2043,2023,2,458000,224.18,503800,246.60
1098 DIPLOMAT DR,11050340000,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1120,2023,9,385100,343.84,414800,370.36
35 ENVOY CRES,11051034000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1978,2092,2024,7,480000,229.45,496300,237.24
71 ATTACHE DR,11051069500,RESSD - Detached SIngle Dwelling,OS-One Storey,1980,2590,2023,10,525000,202.70,563300,217.49
154 PERTH AVE,11051798550,RESSU - Secondary Unit,TS-Two Storey,2023,1410,2023,1,451905,320.50,495300,351.28
272 CLARE AVE,12000035000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1949,1376,2023,1,515000,374.27,558300,405.74
179 MONTGOMERY AVE,12000280000,RESSD - Detached SIngle Dwelling,OS-One Storey,1951,884,2024,7,431179,487.76,442000,500.00
517 MCNAUGHTON AVE,12000412000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1946,1324,2023,4,339000,256.04,364100,275.00
180 MAPLEWOOD AVE,12000890000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1946,1155,2024,8,425000,367.97,434400,376.10
363 BALTIMORE RD,12001104000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1905,2233,2024,9,550000,246.31,560500,251.01
171 ASHLAND AVE,12001181000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,1287,2023,6,540202,419.74,576400,447.86
863 JUBILEE AVE,12001573000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1920,1008,2024,3,290000,287.70,301000,298.61
677 JUBILEE AVE,12001693000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1921,1120,2024,3,332000,296.43,344600,307.68
641 JUBILEE AVE,12001707000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,1600,2023,6,280000,175.00,298800,186.75
684 JUBILEE AVE,12001731000,RESMC - Multi-Family Conversion,OH-One & 1/2 Storey,1922,1338,2024,10,356000,266.07,361700,270.33
1140 PARKER AVE,12001944000,RESSD - Detached SIngle Dwelling,OS-One Storey,1938,648,2023,12,250000,385.80,260800,402.47
572 BERESFORD AVE,12002412000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1910,1148,2024,7,395000,344.08,404900,352.70
507 ROSEDALE AVE,12002560000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,2169,2023,9,397000,183.03,419600,193.45
857 COCKBURN ST S,12002596000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,960,2024,7,285000,296.88,292100,304.27
588 KYLEMORE AVE,12010286000,RESSD - Detached SIngle Dwelling,OS-One Storey,1911,780,2023,4,200000,256.41,214800,275.38
1228 HECTOR BAY W,12011530100,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1703,2025,1,460000,270.11,462800,271.76
16 MORLEY AVE,12012025000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,1125,2024,12,249900,222.13,252100,224.09
852 CARTER AVE,12013656000,RESSD - Detached SIngle Dwelling,OS-One Storey,1947,700,2023,4,240000,342.86,257800,368.29
821 LORETTE AVE,12020273000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,1052,2023,8,265900,252.76,282100,268.16
669 GARWOOD AVE,12020698000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1913,1180,2024,8,410000,347.46,419000,355.08
1084 FLEET AVE,12020975000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1945,880,2024,12,313000,355.68,315800,358.86
583 MULVEY AVE,12021917000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1905,1118,2023,5,326250,291.82,349100,312.25
639 WARSAW AVE,12022053000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1320,2023,6,477400,361.67,509400,385.91
254 HUGO ST N,12022246000,RESMC - Multi-Family Conversion,O3-One & 3/4 Storey,1912,1344,2025,2,389900,290.10,391100,291.00
672 WARSAW AVE,12022307000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1912,1088,2024,12,357500,328.58,360700,331.53
814 MULVEY AVE,12022802000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1914,1446,2024,2,372500,257.61,387800,268.19
917 FLEET AVE,12030008000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1930,1284,2023,9,352000,274.14,372100,289.80
1283 LORETTE AVE,12031292000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1951,1231,2023,11,385000,312.75,404600,328.68
1259 LORETTE AVE,12031298000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1951,1144,2023,9,392000,342.66,414300,362.15
1336 DUDLEY CRES,12031319000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1953,1250,2024,11,402000,321.60,407200,325.76
1141 MCMILLAN AVE,12031414000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1946,1265,2024,9,342500,270.75,349000,275.89
68 ROSLYN CRES,12032663000,RESSD - Detached SIngle Dwelling,OS-One Storey,1950,1543,2023,11,620000,401.81,651600,422.29
254 KINGSWAY,12040282000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1910,2967,2024,12,780000,262.89,787000,265.25
221 KINGSWAY,12040384500,RESSD - Detached SIngle Dwelling,TS-Two Storey,1978,2074,2023,10,826000,398.26,870600,419.77
483 WAVERLEY ST,12041966000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,1158,2024,11,443500,382.99,449300,388.00
511 MONTROSE ST,12042241000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1948,1270,2024,6,343000,270.08,352600,277.64
453 MONTROSE ST,12042254000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1944,1472,2024,9,425000,288.72,433100,294.23
95 WATERLOO ST,12042568000,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,3277,2023,5,1565000,477.57,1674600,511.02
604 ELM ST,12050886000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1950,1948,2024,10,720000,369.61,731500,375.51
711 WATERLOO ST,12050929000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,1157,2023,10,435000,375.97,458500,396.28
797 NIAGARA ST,12052317000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1955,1622,2024,9,479900,295.87,489000,301.48
484 QUEENSTON ST,12052454000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,1148,2024,9,430000,374.56,438200,381.71
600 NIAGARA ST,12052720000,RESSD - Detached SIngle Dwelling,OS-One Storey,1951,981,2023,5,452000,460.75,483600,492.97
203 CORDOVA ST,12060409000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2021,2613,2024,12,725000,277.46,731500,279.95
91 LINDSAY ST,12061461000,RESSD - Detached SIngle Dwelling,OS-One Storey,1952,1100,2023,3,427100,388.27,460000,418.18
592 BOREBANK ST,12062168000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,1063,2024,1,420000,395.11,438500,412.51
30 RENFREW ST,12070028000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2017,2277,2023,5,1500000,658.76,1605000,704.87
293 RENFREW ST,12070434000,RESSD - Detached SIngle Dwelling,OS-One Storey,1946,722,2024,8,260000,360.11,265700,368.01
284 RENFREW ST,12070468000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1947,1162,2024,7,479000,412.22,491000,422.55
338 LANARK ST,12070841000,RESSD - Detached SIngle Dwelling,OS-One Storey,1950,809,2023,8,355000,438.81,376700,465.64
261 BEAVERBROOK ST,12071310000,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,949,2025,2,350000,368.81,351100,369.97
383 BEAVERBROOK ST,12071365000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2655,2023,9,1450000,546.14,1532700,577.29
583 CENTENNIAL ST,12072019000,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,964,2023,5,340000,352.70,363800,377.39
262 LOCKWOOD ST,12072637000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,1080,2024,7,475000,439.81,486900,450.83
502 CLIFTON ST,12080574000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1913,1344,2025,1,382500,284.60,384800,286.31
523 NEWMAN ST,12080795000,RESSD - Detached SIngle Dwelling,OS-One Storey,1909,731,2025,3,260000,355.68,260000,355.68
486 BASSWOOD PL,12080841000,RESSD - Detached SIngle Dwelling,OS-One Storey,1910,962,2024,11,329900,342.93,334200,347.40
498 BASSWOOD PL,12080845000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1911,1368,2024,7,305000,222.95,312600,228.51
455 GREENWOOD PL,12081055000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1909,2526,2023,5,540000,213.78,577800,228.74
480 DOMINION ST,12081106000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1914,2210,2023,7,723900,327.56,770200,348.51
98 SHERBURN ST,12081274000,RESSD - Detached SIngle Dwelling,OS-One Storey,1925,1000,2023,7,360000,360.00,383000,383.00
228 SHERBURN ST,12081383000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1921,1216,2023,6,295000,242.60,314800,258.88
235 LIPTON ST,12081661000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1931,1536,2023,8,365000,237.63,387300,252.15
941 WESTMINSTER AVE,12081740000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1909,1876,2024,12,250000,133.26,252300,134.49
200 LENORE ST,12081938000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,1903,2024,7,442000,232.26,453100,238.10
50 EVANSON ST,12082163000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,1670,2023,8,312500,187.13,331600,198.56
889 PALMERSTON AVE,12082381000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1928,1216,2024,8,455000,374.18,465000,382.40
114 WALNUT ST,12082955000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1909,1483,2024,10,330000,222.52,335300,226.10
18 KNAPPEN AVE,12090148000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1901,1008,2023,8,232000,230.16,246200,244.25
39 EAST GATE,12091674000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1907,6017,2023,6,1200000,199.43,1280400,212.80
147 WEST GATE,12091735000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1910,6184,2024,5,585000,94.60,603100,97.53
21 MIDDLE GATE,12091810000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1910,3572,2024,10,435000,121.78,442000,123.74
710 KYLEMORE AVE,12097642900,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,840,2023,8,270000,321.43,286500,341.07
10 GREENLAWN ST,12097804610,RESSD - Detached SIngle Dwelling,OS-One Storey,2018,1811,2023,9,905000,499.72,956600,528.22
753 GARWOOD AVE,12097804990,RESSD - Detached SIngle Dwelling,TS-Two Storey,2017,1307,2024,8,485000,371.08,495700,379.27
673 STRATHCONA ST,13002400000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1910,910,2023,11,249900,274.62,262100,288.02
705 STRATHCONA ST,13002422000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,903,2024,4,357500,395.90,367200,406.64
987 STRATHCONA ST,13002699000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1910,1213,2023,12,315000,259.69,328900,271.15
961 STRATHCONA ST,13002708000,RESSD - Detached SIngle Dwelling,OS-One Storey,1944,713,2023,8,280000,392.71,297600,417.39
1135 STRATHCONA ST,13002804300,RESSD - Detached SIngle Dwelling,OS-One Storey,1996,792,2023,2,293000,369.95,320200,404.29
1111 STRATHCONA ST,13002816000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1916,853,2024,8,265000,310.67,269500,315.94
711 ASHBURN ST,13003227000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1911,1260,2024,2,240000,190.48,248400,197.14
705 VALOUR RD,13003758100,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1418,2023,9,292000,205.92,308900,217.84
900 SPRUCE ST,13003840000,RESSD - Detached SIngle Dwelling,OS-One Storey,1926,840,2024,4,270000,321.43,277300,330.12
1083 SPRUCE ST,13010238000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1919,1391,2024,9,335083,240.89,340100,244.50
1291 SPRUCE ST,13010385000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1952,1193,2024,7,330000,276.61,336600,282.15
1243 DOMINION ST,13012617000,RESSD - Detached SIngle Dwelling,OS-One Storey,1923,679,2023,4,225000,331.37,243700,358.91
1099 DOMINION ST,13012668000,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,888,2024,9,320000,360.36,324800,365.77
1003 DOMINION ST,13012708000,RESSD - Detached SIngle Dwelling,OS-One Storey,1925,864,2023,8,210000,243.06,223200,258.33
1315 DOWNING ST,13012944000,RESSD - Detached SIngle Dwelling,OS-One Storey,1942,970,2023,6,341000,351.55,365900,377.22
1127 DOWNING ST,13012997000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1944,1104,2023,7,257000,232.79,274500,248.64
616 GARFIELD ST N,13020044000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,768,2023,7,289900,377.47,309600,403.13
631 GARFIELD ST N,13020068000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1913,1333,2023,9,215000,161.29,227500,170.67
984 GARFIELD ST N,13020354000,RESSD - Detached SIngle Dwelling,OS-One Storey,1925,605,2023,8,219000,361.98,232800,384.79
521 SHERBURN ST,13020555000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1294,2023,8,352521,272.43,374700,289.57
573 SHERBURN ST,13020579000,RESSD - Detached SIngle Dwelling,OS-One Storey,1928,776,2023,6,279900,360.70,300300,386.98
638 SHERBURN ST,13020613000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1914,1464,2024,4,420000,286.89,431300,294.60
584 SHERBURN ST,13020635000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1914,1310,2024,11,185000,141.22,186900,142.67
983 SHERBURN ST,13020898000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1927,951,2024,11,292100,307.15,295000,310.20
621 INGERSOLL ST,13021163000,RESSD - Detached SIngle Dwelling,OS-One Storey,1923,832,2023,7,285621,343.29,305000,366.59
1042 INGERSOLL ST,13021533000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1913,1217,2024,5,210000,172.56,215300,176.91
970 INGERSOLL ST,13021584000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1914,1280,2024,8,280000,218.75,284800,222.50
935 LIPTON ST,13021626000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1913,1200,2023,9,192000,160.00,203100,169.25
642 LIPTON ST,13021858000,RESSD - Detached SIngle Dwelling,OS-One Storey,1920,710,2023,9,244000,343.66,258200,363.66
451 LIPTON ST,13021924000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1951,1220,2023,9,275000,225.41,291000,238.52
548 LIPTON ST,13022001000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1248,2024,6,219900,176.20,224700,180.05
435 LIPTON ST,13022153000,RESSD - Detached SIngle Dwelling,OS-One Storey,1941,664,2024,12,234000,352.41,235600,354.82
384 BANNING ST,13022223000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1910,1194,2023,11,200000,167.50,209800,175.71
650 BANNING ST,13022542000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1942,1132,2024,6,305000,269.43,311700,275.35
563 BANNING ST,13022610000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1200,2024,1,237500,197.92,246800,205.67
635 ALVERSTONE ST,13030523000,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,603,2024,12,115000,190.71,115800,192.04
423 HOME ST,13030810000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1910,1693,2023,11,200000,118.13,209800,123.92
596 HOME ST,13031170000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1912,1614,2024,8,291000,180.30,295900,183.33
824 HOME ST,13031421000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1909,1017,2024,5,184900,181.81,189500,186.33
804 SIMCOE ST,13031483000,RESMC - Multi-Family Conversion,TS-Two Storey,1907,1886,2023,12,278000,147.40,290200,153.87
734 BEVERLEY ST,13031547000,RESMC - Multi-Family Conversion,O3-One & 3/4 Storey,1905,1458,2024,12,205000,140.60,206400,141.56
484 SIMCOE ST,13031791000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1907,1440,2024,11,199700,138.68,201700,140.07
745 TORONTO ST,13040145000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1908,1862,2024,8,220000,118.15,223700,120.14
636 TORONTO ST,13040280000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1905,1152,2024,7,193000,167.53,196900,170.92
656 VICTOR ST,13040735000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1905,1200,2023,9,175000,145.83,185200,154.33
657 VICTOR ST,13040783000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2009,1080,2023,4,245000,226.85,265300,245.65
418 AGNES ST,13041106000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1904,1500,2024,5,190000,126.67,194800,129.87
570 FURBY ST,13050459000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1905,1740,2024,7,290000,166.67,295800,170.00
43 KATE ST,13060138000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1905,1428,2025,3,218900,153.29,218900,153.29
476 BANNATYNE AVE,13061269000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1882,1816,2023,5,255000,140.42,274900,151.38
828 MCDERMOT AVE,13061798000,RESMC - Multi-Family Conversion,TS-Two Storey,1913,1850,2025,1,235000,127.03,236200,127.68
1449 BANNATYNE AVE W,13062277000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1916,1038,2024,7,219900,211.85,224300,216.09
1492 BANNATYNE AVE W,13062433000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1949,1099,2024,9,290000,263.88,294400,267.88
162 CECIL ST,13070917000,RESSD - Detached SIngle Dwelling,OS-One Storey,1909,836,2023,6,170000,203.35,182400,218.18
1520 WILLIAM AVE W,13071210000,RESSD - Detached SIngle Dwelling,OS-One Storey,1952,903,2024,7,225000,249.17,229500,254.15
713 ELGIN AVE,13072122000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1905,1296,2024,6,198500,153.16,202900,156.56
549 PACIFIC AVE,13080349000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1897,1139,2023,4,124900,109.66,135300,118.79
556 ALEXANDER AVE,13080411000,RESMC - Multi-Family Conversion,TS-Two Storey,1883,3044,2024,9,242000,79.50,245600,80.68
2227 GALLAGHER AVE,13090742000,RESSD - Detached SIngle Dwelling,OS-One Storey,1905,596,2023,9,85000,142.62,89900,150.84
1480 CATHARINE AVE,13092647000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,700,2024,8,119900,171.29,121900,174.14
287 MILTON ST,13099072050,RESSD - Detached SIngle Dwelling,BL-Bi-Level,2022,990,2024,11,442000,446.46,446400,450.91
178 AUSTIN ST N,14000912100,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1902,1288,2024,2,124000,96.27,128300,99.61
748 STELLA AVE,14002696000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1913,1120,2023,8,132000,117.86,140300,125.27
751 FLORA AVE,14002796000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1907,1296,2023,9,185000,142.75,195700,151.00
815 DUFFERIN AVE,14002872000,RESSD - Detached SIngle Dwelling,OS-One Storey,1907,888,2023,7,175000,197.07,186900,210.47
1044 PRITCHARD AVE,14010561000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1914,932,2023,8,214900,230.58,228400,245.06
1128 PRITCHARD AVE,14010863000,RESSD - Detached SIngle Dwelling,OS-One Storey,1929,620,2023,4,159500,257.26,172700,278.55
1136 PRITCHARD AVE,14010867000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1924,1024,2024,4,180000,175.78,184900,180.57
1246 PRITCHARD AVE,14010905000,RESSD - Detached SIngle Dwelling,OS-One Storey,1909,902,2023,6,240000,266.08,257500,285.48
1615 PRITCHARD AVE,14011340000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,912,2024,10,260000,285.09,263100,288.49
290 MAGNUS AVE,14020029100,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1894,1121,2023,2,150000,133.81,164000,146.30
618 MAGNUS AVE,14020128000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,2006,963,2023,8,270000,280.37,287000,298.03
743 MANITOBA AVE,14020292000,RESSD - Detached SIngle Dwelling,OS-One Storey,1909,765,2023,2,127500,166.67,139400,182.22
1131 MANITOBA AVE,14021210000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1930,1074,2023,10,215000,200.19,226600,210.99
1278 MAGNUS AVE,14021224000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,700,2024,4,200000,285.71,205400,293.43
875 MAGNUS AVE,14022116000,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,836,2024,6,100000,119.62,102200,122.25
1043 MAGNUS AVE,14022629000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,876,2024,8,215000,245.43,218700,249.66
339 ALFRED AVE,14030760000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1901,1340,2023,9,135000,100.75,142800,106.57
290 ABERDEEN AVE,14030791000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1930,1509,2024,12,89500,59.31,90100,59.71
320 ABERDEEN AVE,14030801000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1909,1524,2024,11,157500,103.35,159100,104.40
1099 BURROWS AVE,14031104000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1912,885,2024,12,200000,225.99,201400,227.57
986 ALFRED AVE,14031201000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1914,736,2024,10,193000,262.23,195300,265.35
1134 ALFRED AVE,14031302100,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,780,2024,4,255000,326.92,261900,335.77
