Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
91 JIM GAUTHIER DR,4007268885,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2079,2023,8,616914,296.74,664400,319.58
64 CINDY KLASSEN WAY,4007269255,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1989,2024,7,571905,287.53,617700,310.56
34 WOODLARK PL,5001318000,RESSS - Side By Side,OS-One Storey,1978,766,2024,11,275000,359.01,279700,365.14
45 DRIMES PL,5001469200,RESSS - Side By Side,BL-Bi-Level,1987,818,2023,10,332000,405.87,356200,435.45
44 GLENCAIRN RD,5003353600,RESSD - Detached SIngle Dwelling,OS-One Storey,1994,968,2023,11,355000,366.74,379100,391.63
83 JOHN REEVES PL,5003616300,RESSD - Detached SIngle Dwelling,TS-Two Storey,1999,1258,2024,6,415000,329.89,430800,342.45
612 RIVERGROVE DR,5003843900,RESSD - Detached SIngle Dwelling,OS-One Storey,1987,1570,2023,8,516500,328.98,558900,355.99
267 MAPLEGLEN DR,5004059800,RESSD - Detached SIngle Dwelling,OS-One Storey,1971,988,2024,6,355000,359.31,368500,372.98
1500 LEILA AVE,5004571600,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,1075,2023,11,390000,362.79,416500,387.44
215 CARTWRIGHT RD,5004687500,RESSD - Detached SIngle Dwelling,TL-3 Level Split,1974,1076,2024,4,340000,315.99,356000,330.86
46 BLECHNER DR,5005181000,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,988,2023,4,385000,389.68,423500,428.64
7 MAJORCA PL,5005231200,RESSD - Detached SIngle Dwelling,TS-Two Storey,1974,2048,2025,2,492000,240.23,494000,241.21
23 PLAYGREEN CRES,5005314300,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,1076,2023,12,378000,351.30,402200,373.79
564 ADSUM DR,5005531800,RESSS - Side By Side,OS-One Storey,1977,864,2023,10,319000,369.21,342300,396.18
51 ARGATE DR,5007096400,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1981,1560,2024,1,399900,256.35,423900,271.73
6 BACHMAN BAY,5007117100,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1979,1636,2024,11,400000,244.50,406800,248.66
26 PENNY LANE,5007201500,RESSD - Detached SIngle Dwelling,TS-Two Storey,1989,2007,2023,12,490000,244.15,521400,259.79
82 DUNHAM ST,5007234500,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1371,2024,8,480000,350.11,493900,360.25
83 RITCHIE ST,5007318000,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,895,2023,5,335000,374.30,366800,409.83
107 RITCHIE ST,5007319200,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1013,2024,8,325000,320.83,334400,330.11
12 PHILIMAN PL,5007346600,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,1992,1877,2024,6,440000,234.42,456700,243.31
184 FOXWARREN DR,5007373700,RESSD - Detached SIngle Dwelling,TS-Two Storey,1998,1621,2023,11,529900,326.90,565900,349.11
112 VERONA DR,5008141400,RESSD - Detached SIngle Dwelling,OS-One Storey,2000,1200,2023,9,514900,429.08,554500,462.08
4 VISTULA WAY,5008155000,RESSD - Detached SIngle Dwelling,OS-One Storey,1992,1414,2024,12,500001,353.61,506500,358.20
3 BRENNER BAY,5008165400,RESSD - Detached SIngle Dwelling,OS-One Storey,1997,1884,2025,2,622500,330.41,625000,331.74
15 GALAXY WAY,5009049400,RESSD - Detached SIngle Dwelling,OS-One Storey,1993,1771,2024,5,527500,297.85,549700,310.39
19 STREWCHUK BAY,5009092000,RESSD - Detached SIngle Dwelling,OS-One Storey,1989,1802,2023,5,455000,252.50,498200,276.47
86 DOBRINSKY DR,5009118400,RESSD - Detached SIngle Dwelling,OS-One Storey,1989,895,2023,2,302500,337.99,332800,371.84
150 PETER HERNER BAY,5009137300,RESSD - Detached SIngle Dwelling,CO-Cabover,2002,1500,2024,5,515000,343.33,536600,357.73
66 MARSEILLES CLOSE,5009168700,RESSD - Detached SIngle Dwelling,CO-Cabover,2003,1861,2023,7,587500,315.69,638000,342.83
119 SWINFORD WAY,5009176600,RESSD - Detached SIngle Dwelling,TS-Two Storey,2004,1675,2024,11,555000,331.34,564400,336.96
55 AMBER TRAIL,5009182800,RESSD - Detached SIngle Dwelling,CO-Cabover,2004,1799,2024,11,582000,323.51,591900,329.02
27 AMBER TRAIL,5009215200,RESSD - Detached SIngle Dwelling,CO-Cabover,2006,1778,2023,9,601000,338.02,647300,364.06
467 SWAILES AVE,5009263600,RESSD - Detached SIngle Dwelling,TS-Two Storey,2009,1741,2024,5,528000,303.27,550200,316.03
278 BENN AVE,5009314800,RESSD - Detached SIngle Dwelling,OS-One Storey,2001,1386,2023,2,450000,324.68,495000,357.14
94 DARBRETT BAY,5009333100,RESSD - Detached SIngle Dwelling,TS-Two Storey,2009,2233,2023,11,625000,279.89,667500,298.93
15 SILKWOOD CRES,5009344200,RESSD - Detached SIngle Dwelling,CO-Cabover,2010,1634,2023,5,537500,328.95,588600,360.22
289 CARTESIAN GATE,5009426675,RESSS - Side By Side,TS-Two Storey,2019,1571,2023,5,460000,292.81,503700,320.62
7 PEGASUS ST,5009431960,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1587,2023,5,542857,342.06,594400,374.54
33 LYNX ST,5009432150,RESRH - Row Housing,TS-Two Storey,2023,1354,2023,10,402297,297.12,431700,318.83
9 LYNX ST,5009432210,RESRH - Row Housing,TS-Two Storey,2023,1327,2023,2,419445,316.08,461400,347.70
78 SUMMERSCALES PL,5009433140,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1934,2023,5,610675,315.76,668700,345.76
45 SUMMERSCALES PL,5009433385,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2486,2023,6,816465,328.43,890800,358.33
67 GLENELLA GDNS,5009433585,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1976,2023,11,565062,285.96,603500,305.41
130 AVIOR DR,5009434745,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1695,2023,8,531429,313.53,575000,339.23
154 AVIOR DR,5009434775,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1695,2024,9,523810,309.03,536900,316.76
19 AVIOR DR,5009435045,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1839,2023,9,600221,326.38,646400,351.50
27 AVIOR DR,5009435055,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1870,2024,4,570800,305.24,597600,319.57
7 ARA WAY,5009435135,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1695,2023,8,586419,345.97,634500,374.34
23 ARA WAY,5009435155,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1617,2024,8,500000,309.21,514500,318.18
